VideoId,keyWords,type,length,heat,rating
3276,"5,66,47,62,22",5.0,2,103.0,3.42
426,"19,66",5.0,2,99.13,3.42
788,"7,47",6.0,6,63.27,3.42
3524,"19,66,47",4.0,1,91.14,3.42
541,"7,64,75",1.0,1,77.53,3.42
1622,"19,75,41",6.0,3,106.7,3.415
2915,19,5.0,1,78.47,3.415
1342,"14,62",5.0,1,74.61,3.41
305,"7,65",5.0,1,60.31,3.415
1604,"5,66,57,62,10",4.0,1,96.52,3.415
1307,"81,9,10",5.0,1,79.03,3.415
554,"19,66,30,6,21,17",6.0,3,118.57,3.415
1650,"28,75",1.0,1,68.79,3.415
1986,"19,47,41",4.0,1,92.02,3.415
3127,"5,37,64,6,10",5.0,1,114.99,3.415
2940,"5,21",6.0,3,113.07,3.415
1053,"23,47,1,59",6.0,8,76.93,3.415
3718,"19,21",6.0,3,104.46,3.415
2426,"7,47,75",6.0,11,73.88,3.415
2431,"19,57,41",4.0,1,79.23,3.415
1001,"19,62,22,21",6.0,3,111.52,3.415
5,"5,73",1.0,1,73.76,3.415
276,"2,1",6.0,27,72.99,3.415
2442,"5,37,64,6",1.0,1,88.54,3.415
3268,"7,33,73,6",6.0,9,77.14,3.415
1928,"23,30,62,73",6.0,3,114.0,3.415
1709,"5,37,8,47",4.0,1,97.45,3.415
3834,"23,30",4.0,1,81.06,3.41
1380,"5,62,38",6.0,3,124.35,3.41
1462,"7,47,6,21",6.0,6,90.77,3.41
274,"5,64,75,6,10",5.0,1,75.5,3.41
2642,"7,33,73,6",6.0,6,95.7,3.41
1213,52,3.0,1,74.55,3.405
3462,"19,47,59",4.0,1,89.57,3.41
3222,19,4.0,1,95.56,3.41
944,"5,64,12,33,73",6.0,3,125.83,3.41
1503,"7,64,11,6,21",5.0,1,72.62,3.41
2765,"5,37,64,6",1.0,1,85.85,3.41
1811,"19,33,79,73",1.0,1,82.23,3.41
561,"19,1,51",4.0,1,87.98,3.41
3405,"28,41",1.0,1,86.98,3.41
3938,"5,37,64,75,33,73,6,10",6.0,11,75.81,3.41
2881,"5,37,8,61,73,80",1.0,1,74.92,3.41
2283,"23,72,30",1.0,1,79.19,3.405
1130,"68,30,59",5.0,1,98.1,3.405
3486,7,6.0,11,80.33,3.405
1337,"23,73,80",5.0,1,70.91,3.405
764,"19,8,12,30,41",6.0,3,103.27,3.405
1379,"13,80",6.0,3,104.94,3.405
2994,"19,8,30,62,38,41",6.0,3,109.9,3.405
348,"5,33,73,6",5.0,1,84.99,3.405
3167,"23,11,24,22",5.0,1,92.28,3.405
255,40,4.0,1,90.96,3.405
477,"5,65,33,73",6.0,5,116.4,3.405
3074,"7,64",6.0,11,64.93,3.405
770,"7,61,73,6",1.0,1,100.59,3.405
3535,"5,33,30,6",1.0,1,95.12,3.405
46,"7,64,33,73,22",4.0,2,92.49,3.4
1203,"5,37,33,30,73,6",6.0,8,82.08,3.4
2112,19,5.0,1,73.08,3.4
865,"7,64,47,75,6",1.0,1,66.7,3.4
2115,"81,9",1.0,1,91.57,3.4
3685,7,6.0,8,63.86,3.4
188,"19,47,21",5.0,1,94.02,3.4
1135,"19,8,30,62,34",6.0,3,110.72,3.4
2925,"19,15,11,24,21,17",6.0,6,66.31,3.4
1695,"3,57,62,10",5.0,2,102.42,3.4
2636,"7,64,66,47,1,62",6.0,18,64.47,3.4
2280,"13,59",6.0,13,70.91,3.4
875,"7,65",6.0,11,73.19,3.4
3611,"19,62,41",6.0,3,96.28,3.4
